Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1979,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1978,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1977,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1976,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1975,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1974,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1973,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1972,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1971,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1970,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1969,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1968,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1967,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1966,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1965,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1964,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1963,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1962,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1961,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1960
Papua New Guinea; Data source; Spirits,0.15,0.16,0.16,0.17,0.22,0.18,0.21,0.25,0.28,0.24,0.21,0.2,0.2,0.19,0.21,0.2,0.1,0.1,0.1,
Paraguay; Data source; All types,7.32,6.84,5.84,4.84,5.97,5.48,4.46,4.07,4.06,4.48,4.38,3.62,4.07,4.03,3.9,3.35,3.4,4,3.65,
Paraguay; Data source; Beer,1.7,1.47,1.35,0.96,0.9,0.78,0.66,0.59,0.55,0.61,0.43,0.4,0.38,0.38,0.31,0.3,0.35,0.26,0.28,
Paraguay; Data source; Wine,0.36,0.37,0.37,0.37,0.37,0.37,0.38,0.4,0.4,0.4,0.64,0.48,0.41,0.42,0.36,0,0,0.76,0.54,
Paraguay; Data source; Spirits,5.25,5,4.13,3.51,4.69,4.32,3.42,3.08,3.1,3.44,3.3,2.73,3.27,3.22,3.22,3.04,3.05,2.96,2.83,
Paraguay; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0.01,0.04,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,
Peru; Data source; All types,6.04,5.89,6.53,6.8,6.58,6.49,6.54,6.19,6.52,6.14,6.14,6.46,5.93,7.06,6.8,5.97,5.59,6.76,6.95,
Peru; Data source; Beer,2.11,1.88,2.3,2.58,2.25,2.06,1.91,1.72,1.74,1.43,1.46,1.41,1.41,1.43,1.21,1.19,1,1.21,1.11,
Peru; Data source; Wine,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.22,0.23,0.23,0.21,0.24,0.29,0.23,0.22,0.17,0.16,0.24,0.2,
Peru; Data source; Spirits,3.74,3.82,4.03,4.03,4.13,4.22,4.44,4.25,4.56,4.48,4.47,4.8,4.23,5.4,5.37,4.61,4.43,5.31,5.63,
Philippines; Data source; All types,3.38,3.34,3.15,2.96,2.67,2.63,2.28,2.27,2.21,2.19,2.19,2.42,2.12,1.76,1.65,1.48,1.32,0.89,0.7,
Philippines; Data source; Beer,1.26,3.26,1.16,1.11,0.95,0.94,0.73,0.8,0.81,0.78,0.69,0.81,0.7,0.55,0.64,0.62,0.64,0.43,0.35,
Philippines; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Philippines; Data source; Spirits,2.12,2.05,1.99,1.85,1.72,1.69,1.55,1.47,1.4,1.41,1.5,1.61,1.42,1.21,1.01,0.86,0.68,0.46,0.35,
Philippines; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Poland; Data source; All types,10.62,10.99,10.47,9.45,8.62,9.01,8.67,8.7,8.03,7.62,7.64,7.41,6.94,6.57,6.29,6.16,6.22,6.06,6.27,
Poland; Data source; Beer,2.02,2.18,2.25,2.39,2.42,2.54,2.41,2.43,2.28,2.16,2.1,2.02,1.96,1.84,1.74,1.75,1.74,1.6,1.76,
Poland; Data source; Wine,1.43,1.4,1.31,1.16,1.04,1.01,1.03,1.03,1.01,0.94,0.85,0.77,0.73,0.71,0.77,0.79,0.77,0.88,0.92,
Poland; Data source; Spirits,7.17,7.42,6.91,5.91,5.16,5.46,5.23,5.23,4.74,4.52,4.69,4.61,4.25,4.02,3.78,3.52,3.7,3.58,3.59,
Portugal; Data source; All types,14.19,14.02,13.74,16.87,19.55,18.34,19.06,16.18,15.95,19.89,13.99,18.32,17.03,16.9,19.53,19.37,18.49,15.17,15.02,
Portugal; Data source; Beer,2.56,2.65,2.71,2.2,2.11,2.35,2.33,1.96,1.19,0.99,0.97,0.73,0.65,0.61,0.5,0.39,0.39,0.27,0.3,
Portugal; Data source; Wine,11.15,10.82,10.52,14.26,16.9,15.47,16.27,13.66,14.17,18.37,12.72,17.35,16.09,16.01,18.74,18.63,17.81,14.5,14.12,
Portugal; Data source; Spirits,0.49,0.55,0.5,0.41,0.54,0.52,0.45,0.56,0.59,0.52,0.29,0.23,0.29,0.29,0.29,0.34,0.29,0.4,0.6,
Portugal; Data source; Other alcoholic beverages,0.77,0.74,0.99,1.16,1.08,1.16,0.99,1.02,1.33,0.92,1.25,1.16,1.16,1.35,1.34,1.28,1.4,0,0,
Qatar; Data source; All types,1.71,2.41,2.87,1.9,1.39,1.39,1.14,0.81,0,0,0,0,0,0,0,0,0,0,0,
Qatar; Data source; Beer,0.4,0.5,0.28,0.2,0.08,0.5,0.35,0.03,0,0,0,0,0,0,0,0,0,0,0,
Qatar; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar; Data source; Spirits,1.31,1.91,2.59,1.7,1.32,0.89,0.79,0.78,0,0,0,0,0,0,0,0,0,0,0,
Republic of Korea; Data source; All types,14.4,14.3,16.73,16.01,15.17,16.58,16.83,15.17,14.43,11.25,9.37,8.44,8.89,7.63,6.03,5.21,5.94,7.04,5.99,
Republic of Korea; Data source; Beer,1.18,0.84,0.47,0.38,0.36,0.34,0.28,0.21,0.27,0.22,0.15,0.12,0.15,0.11,0.12,0.07,0.04,0.02,0.04,
Republic of Korea; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Republic of Korea; Data source; Spirits,1.66,1.75,1.84,1.74,1.68,1.31,1.14,0.99,1.01,0.91,0.84,0.81,0.88,0.6,0.5,0.33,0.34,0.41,0.41,
Republic of Korea; Data source; Other alcoholic beverages,11.57,11.71,14.43,13.9,13.13,14.93,15.41,13.97,13.15,10.12,8.38,7.51,7.86,6.92,5.4,4.81,5.56,6.61,5.54,
Romania; Data source; All types,11.41,10.47,9.61,9.44,9.68,10.34,10.21,8.97,8.82,8.55,8,7.66,7.12,7.27,7.18,7.03,7.01,6.92,5.7,
Romania; Data source; Beer,2.96,2.55,2.33,2.33,2.28,2.06,1.81,1.63,1.63,1.45,1.26,1.21,1.16,1.08,0.98,0.91,0.87,0.84,0.77,
Romania; Data source; Wine,5.32,4.94,4.45,4.43,4.86,5.27,5.32,4.35,4.39,4.49,4.37,4.33,3.96,4.37,4.44,4.42,4.49,4.49,3.71,
Romania; Data source; Spirits,3.13,2.98,2.83,2.68,2.54,3.01,3.08,2.99,2.8,2.6,2.38,2.12,2,1.82,1.76,1.7,1.65,1.59,1.22,
Russian Federation; Data source; All types,7.72,7.77,7.67,7.68,7.68,7.54,8.05,8.16,8.5,8.63,8.45,7.83,7.45,6.95,6.71,6.39,6.19,,,
Russian Federation; Data source; Beer,1.53,1.57,1.54,1.5,1.46,1.33,1.35,1.27,1.22,1.19,1.14,1.12,1.09,1.06,0.98,0.9,0.91,,,
Russian Federation; Data source; Wine,1.97,1.97,1.88,1.91,1.92,1.88,2.33,2.42,2.36,2.28,2.1,1.58,1.44,1.28,1.15,1.09,1.01,,,
Russian Federation; Data source; Spirits,4.22,4.23,4.25,4.27,4.3,4.33,4.37,4.47,4.92,5.16,5.21,5.13,4.92,4.61,4.58,4.4,4.27,,,
Rwanda; Data source; All types,7.24,7.35,7.26,7.14,6.79,6.7,7.26,7.13,7.32,7.31,7.27,7.54,7.51,6.23,6.36,6.01,5.48,7.79,5.68,
Rwanda; Data source; Beer,0.68,0.83,0.73,0.68,0.53,0.48,0.43,0.4,0.36,0.33,0.29,0.3,0.29,0.28,0.26,0,0,0,0,
Rwanda; Data source; Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,
Rwanda; Data source; Spirits,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,
Rwanda; Data source; Other alcoholic beverages,6.55,6.5,6.51,6.42,6.24,6.19,6.8,6.72,6.94,6.97,6.98,7.23,7.22,5.95,6.1,6.01,5.48,7.79,5.68,
Saint Kitts and Nevis; Data source; All types,3.6,3.41,3.23,3.12,3.4,2.98,4.24,4.27,4.44,4.67,3.95,3.76,4.32,4.09,4.02,4.15,3.76,3.51,3.38,
Saint Kitts and Nevis; Data source; Beer,1.42,1.11,1.11,0.91,1.08,0.8,1.19,1.06,0.97,0.95,0.8,0.67,0.61,0.53,0.55,0.63,0.48,0.38,0.36,
Saint Kitts and Nevis; Data source; Wine,0.09,0.09,0.1,0.16,0.16,0.14,0.21,0.18,0.25,0.15,0.17,0.16,0.15,0.14,0.18,0.34,0.21,0.17,0.17,
Saint Kitts and Nevis; Data source; Spirits,2.1,2.2,2.02,2.05,2.16,2.05,2.84,3.02,3.22,3.58,2.98,2.94,3.56,3.42,3.3,3.18,3.07,2.96,2.85,
Saint Kitts and Nevis; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saint Lucia; Data source; All types,11.19,11,9.78,8.88,8.61,8.45,10.13,10,10.84,9.46,8.82,8.28,7.68,8.16,9.05,9.26,8.39,8.55,7.97,
Saint Lucia; Data source; Beer,3.14,2.68,1,0.59,0.64,0.64,0.89,0.99,1.25,0.99,0.81,0.53,0.43,0.53,0.35,0.33,0.21,0.21,0.21,
Saint Lucia; Data source; Wine,0.4,0.31,0.36,0.4,0.29,0.35,0.94,0.87,0.65,0.48,0.61,0.41,0.37,0.39,0.31,0.29,0.25,0.25,0.27,
Saint Lucia; Data source; Spirits,7.54,7.9,8.42,7.89,7.68,7.46,8.31,8.14,8.94,7.99,7.39,7.34,6.88,7.24,8.39,8.63,7.94,8.09,7.48,
Saint Lucia; Data source; Other alcoholic beverages,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Samoa; Data source; All types,1.7,1.69,2.14,2.45,1.26,1.52,1.34,1.07,1.01,0.82,0.72,0.53,0.88,0.73,0.8,0.48,0.36,0.34,0.61,
Samoa; Data source; Beer,1.24,1.35,1.6,1.64,1.2,1.2,1.14,0.78,0.85,0.58,0.59,0.4,0.4,0.47,0.63,0.32,0.31,0.29,0.28,
Samoa; Data source; Wine,0.06,0.06,0.02,0.02,0.02,0.04,0.01,0.03,0.01,0.11,0.01,0.01,0.01,0.02,0,0,0,0,0,
Samoa; Data source; Spirits,0.4,0.29,0.2,0.79,0.04,0.28,0.19,0.26,0.14,0.13,0.11,0.11,0.47,0.24,0.17,0.16,0.05,0.05,0.33,
Sao Tome and Principe; Data source; All types,3.68,1.52,2.61,4.83,4.97,6.02,5,7.32,7.69,8.22,9.67,9.42,7.77,7.71,7.84,7.14,8.61,6.48,6.31,
Sao Tome and Principe; Data source; Beer,0,0,0,0,0,0.02,0.19,1.12,1.1,1.31,1.62,1.58,0.99,1.03,0.55,0.54,0.53,0.51,0.5,
Sao Tome and Principe; Data source; Wine,3.67,1.51,2.59,4.81,4.96,5.99,4.8,6.18,6.58,6.9,8.04,7.83,6.77,6.67,7.28,6.61,8.08,5.97,5.81,
Sao Tome and Principe; Data source; Spirits,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,
Sao Tome and Principe; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia; Data source; All types,0.23,0.22,0.1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia; Data source; Beer,0.23,0.21,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia; Data source; Spirits,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal; Data source; All types,0.84,0.83,0.99,0.92,0.82,0.57,0.59,0.69,0.6,0.57,0.59,0.6,0.67,0.67,0.78,0.97,1.22,1.07,1.22,
Senegal; Data source; Beer,0.42,0.41,0.46,0.38,0.33,0.21,0.22,0.25,0.22,0.21,0.19,0.18,0.17,0.2,0.24,0.26,0.29,0.24,0.24,
Senegal; Data source; Wine,0.32,0.35,0.43,0.46,0.42,0.3,0.31,0.34,0.31,0.29,0.35,0.38,0.44,0.43,0.49,0.67,0.86,0.77,0.91,
Senegal; Data source; Spirits,0.1,0.07,0.1,0.08,0.07,0.06,0.05,0.11,0.06,0.06,0.05,0.05,0.06,0.04,0.05,0.05,0.06,0.06,0.06,
Seychelles; Data source; All types,3.56,3.65,3.59,3.54,3.52,3.71,3.73,3.84,3.89,3.75,3.06,2.38,2.41,2.05,1.82,1.81,1.31,1.19,1.13,
Seychelles; Data source; Beer,2.38,2.43,2.29,2.25,2.25,2.31,2.35,2.38,2.39,2.32,2.08,1.39,1.4,1.2,1,1.25,0.74,0.6,0.58,
Seychelles; Data source; Wine,0.53,0.51,0.53,0.52,0.53,0.62,0.61,0.63,0.65,0.56,0.53,0.6,0.63,0.55,0.51,0.22,0.3,0.19,0.16,
Seychelles; Data source; Spirits,0.65,0.7,0.77,0.77,0.74,0.79,0.77,0.83,0.85,0.86,0.44,0.4,0.38,0.31,0.31,0.35,0.26,0.4,0.4,
Sierra Leone; Data source; All types,4.36,4.55,4.69,4.61,4.59,4.25,4.22,4.78,5.52,5.69,5.72,5.65,5.63,5.57,5.55,5.58,5.57,5.61,5.61,
Sierra Leone; Data source; Beer,0.22,0.32,0.27,0.29,0.29,0.26,0.24,0.19,0.18,0.17,0.18,0.16,0.14,0.17,0.13,0.11,0.13,0.18,0.18,
Sierra Leone; Data source; Wine,0,0.01,0.02,0.03,0.03,0.03,0.04,0.07,0.04,0.03,0.04,0.02,0.01,0,0.02,0.03,0.06,0.04,0.09,
Sierra Leone; Data source; Spirits,0.03,0.04,0.04,0.05,0.02,0.06,0.03,0.04,0.04,0.07,0.05,0.05,0.09,0.04,0,0.04,0.04,0.05,0.05,
Sierra Leone; Data source; Other alcoholic beverages,4.1,4.18,4.35,4.24,4.26,3.9,3.9,4.48,5.26,5.42,5.44,5.42,5.38,5.35,5.39,5.39,5.35,5.34,5.29,
Singapore; Data source; All types,2.14,2.37,2.57,2.66,2.4,2.38,2.86,2.49,2.9,2.68,2.33,2.41,2.25,2.11,2.14,1.87,2.21,1.97,2.19,
Singapore; Data source; Beer,1.02,1.12,1.21,1.33,1.34,1.38,1.42,1.33,1.49,1.41,1.27,1.3,1.35,1.28,1.18,1.09,1.16,1,1.51,
Singapore; Data source; Wine,0.14,0.15,0.15,0.13,0.12,0.12,0.11,0.08,0.11,0.08,0.06,0.06,0.04,0.04,0.05,0.03,0.04,0.03,0.04,
Singapore; Data source; Spirits,0.87,0.95,0.98,0.97,0.8,0.76,1.09,0.75,0.99,0.9,0.76,0.69,0.64,0.55,0.57,0.42,0.53,0.45,0.46,
Singapore; Data source; Other alcoholic beverages,0.11,0.15,0.23,0.23,0.13,0.1,0.23,0.31,0.3,0.28,0.24,0.36,0.21,0.24,0.34,0.32,0.48,0.49,0.18,
Slovakia; Data source; All types,13.57,13.59,14.85,13.66,14.7,13.51,13.68,13.64,14.25,12.71,12.05,11.16,10.81,11.18,11.03,10.21,9.35,9.44,9.28,
Slovakia; Data source; Beer,6.86,6.1,7.56,7.09,7.71,7.51,7.89,8.13,8.32,7.2,6.94,6.72,6.46,6.87,6.75,6.42,6,5.7,5.45,
Slovakia; Data source; Wine,2.54,2.87,2.81,2.71,2.99,2.5,2.39,2.41,2.51,2.43,2.21,2.04,2.4,2.55,2.77,2.45,1.94,2.21,2.42,
Slovakia; Data source; Spirits,4.17,4.62,4.48,3.86,4,3.5,3.4,3.1,3.42,3.08,2.9,2.4,1.95,1.76,1.51,1.34,1.41,1.53,1.41,
Solomon Islands; Data source; All types,0.96,0.74,0.72,0.69,0.65,0.66,0.57,0.7,0.57,0.53,0.49,0.44,0.43,0.43,0.42,0.42,0.45,0.38,0.37,
Solomon Islands; Data source; Beer,0.75,0.55,0.56,0.51,0.48,0.47,0.4,0.41,0.39,0.37,0.34,0.3,0.31,0.31,0.25,0.31,0.34,0.31,0.29,
Solomon Islands; Data source; Wine,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.01,0.01,
Solomon Islands; Data source; Spirits,0.14,0.13,0.09,0.12,0.11,0.12,0.11,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.14,0.08,0.08,0.06,0.07,
Somalia; Data source; All types,0.02,0.01,0.02,0.02,0,0.02,0.02,0.03,0.03,0.04,0.06,0.05,0.03,0.05,0.06,0.05,0.03,0.05,0.06,
Somalia; Data source; Beer,0,0.01,0.01,0.02,0,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,
Somalia; Data source; Wine,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0,0.03,0.03,
Somalia; Data source; Spirits,0.01,0,0,0,0,0.01,0,0,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,
South Africa; Data source; All types,8.18,7.51,7.46,7.87,8.37,8.65,8.17,7.52,7.31,7.36,7.16,6.91,6.73,6.59,6.37,5.87,5.35,8.13,7.41,
South Africa; Data source; Beer,1.89,1.65,1.6,1.66,1.69,1.55,1.33,1.13,1.05,1.06,0.95,0.77,0.71,0.8,0.8,0.67,0.81,0.41,0.37,
South Africa; Data source; Wine,1.74,1.82,1.86,2.05,2.16,2.35,2.23,2.09,2.36,1.93,1.97,1.9,1.92,1.75,1.8,1.88,1.61,4.35,3.83,
South Africa; Data source; Spirits,2.05,1.76,1.78,1.99,2.39,2.27,2,1.76,1.95,2.32,1.94,2,1.93,1.97,1.92,1.72,1.54,2.27,2.23,
South Africa; Data source; Other alcoholic beverages,2.5,2.28,2.22,2.17,2.14,2.49,2.62,2.54,1.95,2.06,2.3,2.23,2.18,2.07,1.85,1.6,1.38,1.11,0.99,
Spain; Data source; All types,17.71,18.28,17.07,17.93,18.53,18.38,17.98,16.33,15.11,15.25,15.22,14.91,14.54,16.03,14.59,13.88,13.56,14.64,,
Spain; Data source; Beer,3.68,3.58,3.23,3.3,3.25,3.06,2.95,2.5,2.48,2.67,2.22,2.28,2.1,1.82,1.61,1.49,1.27,1.05,,
Spain; Data source; Wine,9.79,10.58,9.85,10.77,11.55,11.72,11.43,10.22,9.16,9.39,9.53,9.45,9.26,10.08,9.54,9.5,9.81,10.49,,
Spain; Data source; Spirits,4.24,4.12,3.99,3.86,3.73,3.6,3.6,3.61,3.47,3.19,3.47,3.18,3.18,4.13,3.44,2.89,2.48,3.1,,
Sri Lanka; Data source; All types,0.42,0.49,0.26,0.23,0.22,0.14,0.18,0.24,0.18,0.26,0.26,0.26,0.22,0.21,0.3,0.34,0.34,0.34,0.34,
Sri Lanka; Data source; Beer,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.06,
Sri Lanka; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sri Lanka; Data source; Spirits,0.37,0.44,0.22,0.19,0.19,0.11,0.14,0.19,0.14,0.2,0.21,0.21,0.18,0.16,0.25,0.29,0.3,0.29,0.29,
Sudan; Data source; All types,1.55,1.72,1.55,2.32,1.55,1.66,1.6,1.55,1.57,1.56,1.61,1.55,1.3,1.19,1.22,1.54,1.47,1.68,1.29,
Sudan; Data source; Beer,1.43,1.61,1.43,2.23,1.46,1.57,1.51,1.49,1.51,1.49,1.53,1.45,1.23,1.15,1.19,1.51,1.44,1.66,1.27,
Sudan; Data source; Wine,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,
Sudan; Data source; Spirits,0.12,0.11,0.11,0.08,0.09,0.08,0.09,0.06,0.06,0.06,0.08,0.09,0.06,0.03,0.02,0.03,0.02,0.02,0.02,
Suriname; Data source; All types,7.99,8.14,7.54,6.89,6.93,6.88,7.02,6.37,5.88,6.81,6.54,5.79,5.68,5.61,5.87,5.98,6.2,6.18,6.14,
Suriname; Data source; Beer,2.95,2.83,2.87,2.44,2.12,2.12,2.36,2.39,2.22,2.43,2.22,1.86,1.72,1.62,1.49,1.36,1.37,1.33,1.22,
Suriname; Data source; Wine,0.08,0.08,0.08,0.1,0.05,0.05,0.05,0.11,0.09,0.65,0.57,0.04,0.04,0.05,0.05,0.1,0.06,0.06,0.05,
Suriname; Data source; Spirits,4.96,5.23,4.58,4.34,4.76,4.7,4.61,3.87,3.58,3.73,3.74,3.88,3.91,3.94,4.32,4.52,4.77,4.78,4.87,
Swaziland; Data source; All types,8.29,9.48,9.69,11.51,12.1,11.22,11.37,9.87,10.7,8.66,7.46,6.75,6.26,5.49,5,4.8,5.27,6.32,7.03,
Swaziland; Data source; Beer,6.81,7.14,7.58,9.55,10.21,10.17,9.41,9.29,9.95,8.17,7.18,6.75,6.26,5.49,5,4.8,5.27,6.32,7.03,
Swaziland; Data source; Wine,0.52,0.98,0.71,0.52,0.54,0.5,0.96,0.29,0.3,0.18,0.12,0,0,0,0,0,0,0,0,
Swaziland; Data source; Spirits,0.96,1.36,1.4,1.44,1.35,0.55,1,0.29,0.45,0.31,0.16,0,0,0,0,0,0,0,0,
Sweden; Data source; All types,8.08,8.06,8.41,8.78,8.69,8.46,7.94,8.05,7.77,7.86,7.75,7.22,6.96,6.75,6.56,6.36,6.03,6.1,6.04,
Sweden; Data source; Beer,3.01,3.06,3.37,3.72,3.8,3.68,3.57,3.63,3.63,3.63,3.68,3.26,2.87,2.74,2.56,2.49,2.48,2.3,2.35,
Sweden; Data source; Wine,1.29,1.25,1.31,1.18,1.15,1.07,1.01,1.1,0.97,0.89,0.81,0.74,0.69,0.64,0.6,0.59,0.54,0.58,0.55,
Sweden; Data source; Spirits,3.78,3.75,3.73,3.88,3.74,3.71,3.36,3.32,3.17,3.34,3.26,3.22,3.4,3.37,3.4,3.28,3.01,3.22,3.14,
Switzerland; Data source; All types,14.06,14.16,14.04,13.96,14.28,15.24,15.63,15.02,14.77,14.79,14.65,14.23,14.19,14.22,No data,No data,No data,No data,No data,
Switzerland; Data source; Beer,4.28,4.3,4.35,4.56,4.63,4.88,4.92,4.8,5.08,5.15,5.03,4.94,5.15,5.09,No data,No data,No data,No data,No data,
Switzerland; Data source; Wine,6.9,6.9,6.8,6.64,6.79,7.15,7.26,6.95,6.56,6.6,6.45,6.22,6.32,6.15,No data,No data,No data,No data,No data,
Switzerland; Data source; Spirits,2.56,2.63,2.55,2.36,2.48,2.8,3.02,2.82,2.67,2.57,2.68,2.53,2.27,2.43,No data,No data,No data,No data,No data,
Switzerland; Data source; Other alcoholic beverages,0.32,0.33,0.35,0.4,0.39,0.4,0.43,0.44,0.45,0.47,0.49,0.54,0.45,0.55,,,,,,
Syrian Arab Republic; Data source; All types,0.99,0.93,1.04,1.19,0.91,0.91,0.47,0.55,0.61,0.52,0.79,0.59,0.12,0.13,0.14,0.15,0.15,0.15,0.14,
Syrian Arab Republic; Data source; Beer,0.07,0.07,0.07,0.09,0.09,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.06,
Syrian Arab Republic; Data source; Wine,0.79,0.79,0.85,0.93,0.71,0.72,0.31,0.38,0.45,0.36,0.65,0.45,0,0,0,0,0,0.01,0,
Syrian Arab Republic; Data source; Spirits,0.12,0.07,0.12,0.17,0.12,0.12,0.1,0.13,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.1,0.09,0.08,0.08,
Thailand; Data source; All types,4.77,4.39,4.2,2.91,2.3,2.27,1.79,1.87,2.03,1.91,1.84,1.7,1.65,1.62,1.21,0.93,0.82,0.46,0.26,
Thailand; Data source; Beer,0.26,0.19,0.18,0.14,0.12,0.09,0.09,0.07,0.07,0.08,0.09,0.09,0.08,0.09,0.04,0.04,0.03,0.03,0.02,
Thailand; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thailand; Data source; Spirits,4.51,4.21,4.01,2.77,2.18,2.18,1.7,1.8,1.96,1.83,1.75,1.62,1.57,1.53,1.17,0.9,0.79,0.44,0.24,
Timor-Leste; Data source; All types,,,,,0.12,0.4,0.32,0.27,0.49,0.39,0.51,0.43,0.44,0.31,0.23,0.17,0.3,0.15,0.18,
Timor-Leste; Data source; Beer,,,,,0.12,0.12,0.1,0.08,0.15,0.14,0.13,0.1,0.08,0.06,0.05,0.03,0.08,0.03,0.03,
Timor-Leste; Data source; Wine,,,,,0,0.15,0.09,0.09,0.24,0.15,0.26,0.2,0.26,0.15,0.15,0.09,0.16,0.07,0.1,
Timor-Leste; Data source; Spirits,,,,,0,0.13,0.12,0.09,0.1,0.1,0.11,0.12,0.1,0.09,0.03,0.04,0.05,0.05,0.05,
Togo; Data source; All types,3.79,3.77,6.22,5.16,4.93,6.24,6.45,5.54,4.92,4.84,4.92,5.85,6.82,6.12,5.41,5.92,4.13,4.58,4.62,
Togo; Data source; Beer,1.66,1.69,2.89,2.53,2.44,3.12,3.21,2.75,2.45,2.37,2.3,2.78,3.3,2.91,2.55,2.74,1.89,2.08,2.15,
Togo; Data source; Wine,0.19,0.22,0.35,0.21,0.23,0.17,0.16,0.21,0.21,0.24,0.28,0.29,0.25,0.29,0.29,0.37,0.28,0.29,0.25,
Togo; Data source; Spirits,1.33,1.15,0.92,0.55,0.47,0.38,0.38,0.31,0.24,0.29,0.47,0.27,0.19,0.22,0.23,0.31,0.27,0.3,0.26,
Togo; Data source; Other alcoholic beverages,0.61,0.71,2.06,1.87,1.79,2.57,2.7,2.27,2.02,1.94,1.87,2.51,3.08,2.7,2.34,2.5,1.69,1.91,1.96,
Trinidad and Tobago; Data source; All types,5.91,5.39,5.66,5.12,5.07,4.89,4.61,3.98,3.92,3.95,3.59,2.83,2.96,3.8,4.98,3.57,3.86,3.46,2.83,
Trinidad and Tobago; Data source; Beer,1.81,1.55,1.98,1.88,1.61,1.45,1.75,1.63,1.62,1.47,1.25,0.88,0.89,0.92,0.99,0.88,0.92,0.9,0.96,
Trinidad and Tobago; Data source; Wine,0.28,0.13,0.11,0.09,0.1,0.1,0.11,0.14,0.15,0.12,0.08,0.06,0.07,0.09,0.09,0.08,0.08,0.1,0.12,
Trinidad and Tobago; Data source; Spirits,3.8,3.65,3.53,3.13,3.34,3.33,2.71,2.19,2.14,2.35,2.25,1.87,1.98,2.77,3.88,2.59,2.84,2.43,1.72,
